TitleID	FullTitle
13885	... The fishes of the Stanford expedition to Brazil,  by Edwin Chapin Starks ... with fifteen plates ...
10652	1er Congrès international d'entomologie, Bruxelles, 1-6 août, 1910 ...
2589	A catalogue of the fishes of Bermuda, with notes on a collection made in 1905 for the Field Museum,  by Tarleton H. Bean.
105941	A Catalogue of the Hesperiidae from Europe, Asia, and Australia in the British Museum (Natural History) /
32671	A catalogue of the mammalia in the Museum of the Hon. East-India Company.
123681	A check-list of West Indian amphibians and reptiles /
3421	A collection of amphibians and reptiles from the Cardamom Mountains, southwestern Cambodia  /  Bryan L. Stuart [and] David A. Emmett.
2996	A collection of birds from the Ivory Coast  [by] Melvin A. Traylor and Daniel Parelius.
2858	A Colombian race of Tinamus osgoodi /  Emmet R. Blake.
3799	A contribution to the ichthyology of Mexico.
7204	A contribution to the ornithology of northeastern Brazil,  by Charles E. Hellmayr.
894	A contribution to the phytogeography and flora of the Arfak mountains /by L.S. Gibbs.
3533	A contribution to the taxonomy of aquatic and humicolous beetles of the family Hydraenidae in southern Africa /  Philip D. Perkins, J. Balfour-Browne.
16083	A descriptive catalogue of the Indian deep-sea Crustacea Decapoda Macrura and Anaomala, in the Indian museum. Being a revised account of the deep-sea species collected by the Royal Indian marine survey ship Investigator. By A. Alcock.
3458	A Floral and faunal inventory of the eastern slopes of the Réserve naturelle intégrale d'Andringitra, Madagascar : with reference to elevational variation / Steven M. Goodman, editor.
3276	A floral and faunal inventory of the Parc national de Marojejy, Madagascar : with reference to elevational variation / Steven M. Goodman, editor.
3452	A floral and faunal inventory of the Réserve Naturelle Intégrale d'Andohahela, Madagascar : with reference to elevational variation / Steven M. Goodman, editor.
3148	A floral and faunal inventory of the Réserve spéciale d'Anjanaharibe-Sud, Madagascar : with reference to elevational variation / Steven M. Goodman, editor.
8549	A handbook of the gnats or mosquitoes; giving the anatomy and life history of the Culicidæ together with descriptions of all species noticed up to the present date, by Lieut.-Col. Geo. M. Giles.
100020	A handbook to the birds of British Burmah, including those found in the adjoining state of Karennee,
3504	A key to the bats of the Philippine Islands /  Nina R. Ingle, Lawrence R. Heaney.
61097	A list of the birds and mammals collected by the Steere Expedition to the Philippines : with localities, and with brief preliminary descriptions of supposed new species /
8536	A monograph of oriental Cicadidæ.  By W.L. Distant ... Pub. by order of the trustees of the Indian Museum, Calcutta ...
58067	A monograph of the Culicidae, or mosquitoes. Mainly compiled from the collections received at the British museum from various parts of the world in connection with the investigation into the cause of malaria conducted by the Colonial office and the Royal society.
34753	A monograph of the Membracidæ,
106032	A monograph of the recent Cephalopoda based on the collections in the British Museum (Natural History) /
8596	A monograph on the Polychaeta of southern Africa /  By J.H. Day, &c.
3797	A monograph on the termitophilous Staphylinidae, Coleoptera.
3128	A multivariate study of the family molossidae (mammalia, chiroptera) : morphology, ecology, evolution / Patricia Waring Freeman.
3071	A new Australian lizard, with a note on Hemiergis,  by Hobart M. Smith.
2969	A new catalogue of the fresh-water fishes of Panama,  by Samuel F. Hildebrand.
156953	A new cavernicolous Parobisium Chamberlin 1930 (Pseudoscorpiones: Neobisiidae) from Yosemite National Park, U.S.A. /
3370	A new central Brazilian genus and species of sigmodontine rodent (Sigmodontinae) transitional between akodonts and oryzomyines : with a discussion of muroid molar morphology and evolution / Philip Hershkovitz.
2909	A new chaenopsid fish, Emblemaria hyltoni, from Isla Roatán, Honduras /  Robert Karl Johnson and David W. Greenfield.
3562	A new colubrid snake of the genus Atractus.
2928	A new colubrid snake of the genus Pseudorabdion from Sumatra  [by] Robert F. Inger and Alan E. Leviton.
3111	A new colubrid snake of the genus Stegonotus from Borneo  [by] Robert F. Inger.
3010	A new coral snake from British Guiana,  by Karl P. Schmidt.
2923	A new crocodile from the Philippine Islands,  by Karl P. Schmidt.
3780	A new fossil feather-wing beetle from Baltic Amber (Coleoptera: Pitliidae)
2906	A new frog from Panama : Dendrobates galindoi / Harold Trapido.
3124	A new frog of the genus Kassina from Northern Rhodesia.
3779	A new gekkonid lizard of the genus Cyrtodactylus from the Philippine Islands.
3132	A new generic and family position for Bufo Borbonica,  by D. Dwight Davis.
142922	A new genus and several new species of Mexican schizomids (Schizomida:Arachnida)
3792	A new genus and species of fish from the Gulf of Mexico (family Emmelichthyidae).
3294	A new genus and species of frog (Leptodactylidae) from Colombia,  [by] Doris M. Cochran and Coleman J. Goin.
2921	A new genus and species of quill mites (Acarina, Syringophilidae) from Colinus virginianus (Galliformes, Phasianidae) with notes on developmental chaetotaxy /  John B. Kethley.
2900	A new genus of batflies from Guatemala (Diptera Acalypterae: Streblidae)  [by] Henry S. Dybas and Rupert L. Wenzel.
3372	A new genus of blind beetles from a cave in South Africa.
3233	A new genus of minute fungus-pore beetles from Oregon (Coleoptera : Ptiliidae) /  Henry S. Dybas.
3254	A new genus of Rosensteiniiadae (Acarina) from Mexico  [by] Burruss McDaniel, Jr., and Edward W. Baker.
2896	A new harvest mouse from Wisconsin,  by Harold C. Hanson.
3058	A new helogeneid catfish from Eastern Ecuador (Pisces, Siluriformes, Helogeneidae /  Garrett S. Glodek and H. Jacque Carter.
3075	A new kinosternid turtle from Colombia.
2879	A new larval mite from Eritrea (Acarina : Trombiculidae) /  Charles D. Radford.
2817	A new leptodactylid frog from Chile /  Karl P. Schmidt.
3184	A new limbless skink (Reptilia: Scincidae) from Thailand with comments on the generic status of the limbless skinks of Southeast Asia  [by] W. Ronald Heyer.
3764	A new lizard of the genus Varanus from New Guinea.
16284	A new lizard species in the genus Xantusia from Arizona /  by Theodore J. Papenfuss, J. Robert Macey and James A. Schulte II.
156905	A new Lophostoma (Chiroptera: Phyllostomidae: Phyllostominae) from the Amazonia of Ecuador /
5566	A new octodont rodent from the Paraguayan Chaco  [by] Wilfred H. Osgood.
3373	A new pelobatid frog of the genus Megophrys from Hong Kong  [by] Robert F. Inger and J. D. Romer.
3811	A new Peruvian race of Crypturellus obsoletus.
2874	A new plethodontid salamander from Nuevo León, Mexico.
3536	A new race of crow. Corvus enca, from the Philippines [by] Austin L. Rand and Dioscoro S. Rabor.
3763	A new race of Penelope montagnii from southeastern Peru.
3220	A new ranid frog (Staurois) from the colony of Hongkong  [by] Clifford H. Pope and J. D. Romer.
5132	A new rodent from Dutch New Guinea  [by] Wilfred H. Osgood.
3030	A new rodent from the Galapagos Islands,  by Wilfred H. Osgood.
5302	A new shark of the family Edestidae, Ornithoprion hertwigi, from the Pennsylvanian Mecca and Logan quarry shales of Indiana / Rainer Zangerl --
3777	A new skink from Mexico,  by Edward H. Taylor.
3216	A new snake of the genus Tantilla from West Texas /  Sherman A. Minton.
2907	A new sparid fish of the genus Diplodus from Bermuda  [by] David K. Caldwell.
3242	A new species of Allactaga (Rodentia: Dipodidae) from Iran /  Daniel R. Womochel.
3300	A new species of babbling thrush from the Philippines.
60687	A new species of bat of the genus Sturnira (family Phyllostomatidae) from northwestern South America /
156888	A new species of Carollia (Chiroptera: Phyllostomidae) from the Andes of Peru and Bolivia /
2947	A new species of Chondria with a key to the Bornean species (Coleptera : Endomychidae) /  H. F. Strohecker.
2806	A new species of Crotaphopeltis (Serpentes: Colubridae) from Barotseland, Zambia  [by] Donald G. Broadley.
142949	A new species of Estesicus from Guadeloupe, Lesser Antilles (Chiroptera: Vespertilionidae) /
2793	A new species of frog of the genus Rana from Thailand  [by] Robert F. Inger.
60686	A new species of Glauconycteris (Vespertilionidae, Chiroptera) /
2970	A new species of land snail from Bolivia.
3804	A new species of lungless salamander  (genus Bolitoglossa) from Panama [by] David B. Wake and Arden H. Brame, Jr.
